都道府県名,陽性者数 検査人数,,%
北海道,11789,203872,5.8%
青森,390,8553,4.6%
岩手,327,12450,2.6%
宮城,1650,22849,7.2%
秋田,94,3877,2.4%
山形,296,9449,3.1%
福島,672,47854,1.4%
茨城,2081,18084,11.5%
栃木,968,63840,1.5%
群馬,1819,45813,4.0%
埼玉,11090,274984,4.0%
千葉,8659,199218,4.3%
東京,49490,885494,5.6%
神奈川,16003,307929,5.2%
新潟,421,25335,1.7%
富山,480,19629,2.4%
石川,938,26165,3.6%
福井,337,17267,2.0%
山梨,463,14234,3.3%
長野,1013,40050,2.5%
岐阜,1629,54297,3.0%
静岡,2299,72162,3.2%
愛知,13282,168108,7.9%
三重,1115,24205,4.6%
滋賀,894,32541,2.7%
京都,3475,78701,4.4%
大阪,26167,399915,6.5%
兵庫,7682,118382,6.5%
奈良,1577,41214,3.8%
和歌山,570,15528,3.7%
鳥取,68,20828,0.3%
島根,174,7659,2.3%
岡山,885,27231,3.2%
広島,1889,51951,3.6%
山口,445,24734,1.8%
徳島,188,14101,1.3%
香川,206,20108,1.0%
愛媛,372,9854,3.8%
高知,455,5094,8.9%
福岡,6890,233615,2.9%
佐賀,403,12810,3.1%
長崎,345,31700,1.1%
熊本,1353,29145,4.6%
大分,556,36116,1.5%
宮崎,632,11471,5.5%
鹿児島,837,33532,2.5%
沖縄,4898,81811,6.0%
長崎船,149,0,-
合計,188415,3903759,4.8%
