都道府県名,陽性者数,検査人数,%
北海道,562,5362,10.5%
青森,22,517,4.3%
岩手,0,280,0.0%
宮城,84,1568,5.4%
秋田,16,786,2.0%
山形,66,1947,3.4%
福島,66,1420,4.6%
茨城,157,4031,3.9%
栃木,53,1673,3.2%
群馬,140,2434,5.8%
埼玉,767,5889,13.0%
千葉,768,4879,14.8%
東京,3747,9827,38.1%
神奈川,912,5075,16.6%
新潟,65,2491,2.6%
富山,163,1885,8.6%
石川,222,1424,15.6%
福井,120,1313,9.1%
山梨,51,1922,2.7%
長野,67,1548,4.3%
岐阜,146,2272,6.4%
静岡,59,2366,2.5%
愛知,474,6272,7.6%
三重,45,1653,2.7%
滋賀,93,1141,8.2%
京都,286,3614,7.9%
大阪,1448,6895,19.2%
兵庫,605,6463,9.4%
奈良,76,1173,6.5%
和歌山,52,2526,2.1%
鳥取,3,929,0.3%
島根,16,750,2.1%
岡山,20,1041,1.9%
広島,142,4239,3.3%
山口,31,1217,2.5%
徳島,5,386,1.3%
香川,28,1427,2.0%
愛媛,47,1002,4.7%
高知,71,1294,5.5%
福岡,584,7963,7.3%
佐賀,32,711,4.5%
長崎,16,1728,0.9%
熊本,43,2623,1.6%
大分,60,2910,2.1%
宮崎,17,1010,1.7%
鹿児島,10,1109,0.9%
沖縄,133,1715,7.8%
長崎船,91,,
合計,12681,122700,10.1%
