都道府県名,陽性者数 検査人数,,%
北海道,1773,43920,4.0%
青森,35,2013,1.7%
岩手,19,3103,0.6%
宮城,204,7765,2.6%
秋田,49,1778,2.8%
山形,78,3101,2.5%
福島,161,14665,1.1%
茨城,545,10796,5.0%
栃木,303,22163,1.4%
群馬,440,14286,3.1%
埼玉,3929,105524,3.7%
千葉,3050,55547,5.5%
東京,20817,322909,6.4%
神奈川,4962,114608,4.3%
新潟,143,12483,1.1%
富山,387,7699,5.0%
石川,626,8106,7.7%
福井,228,7804,2.9%
山梨,173,9536,1.8%
長野,256,14181,1.8%
岐阜,555,17910,3.1%
静岡,480,25473,1.9%
愛知,4493,53096,8.5%
三重,368,9868,3.7%
滋賀,450,9007,5.0%
京都,1448,31282,4.6%
大阪,8544,133981,6.4%
兵庫,2268,44289,5.1%
奈良,518,12972,4.0%
和歌山,230,8607,2.7%
鳥取,22,4553,0.5%
島根,137,4869,2.8%
岡山,145,5880,2.5%
広島,458,17681,2.6%
山口,168,6790,2.5%
徳島,130,5898,2.2%
香川,77,7992,1.0%
愛媛,114,3809,3.0%
高知,125,3046,4.1%
福岡,4568,40670,11.2%
佐賀,237,5076,4.7%
長崎,231,14507,1.6%
熊本,520,11373,4.6%
大分,145,12148,1.2%
宮崎,336,8054,4.2%
鹿児島,362,15653,2.3%
沖縄,2139,25614,8.4%
長崎船,149,0,-
合計,67595,1322085,5.1%
