都道府県名,陽性者数 検査人数,,%
北海道,1071,12982,8.2%
青森,27,843,3.2%
岩手,0,637,0.0%
宮城,88,2884,3.1%
秋田,16,931,1.7%
山形,69,2644,2.6%
福島,81,4186,1.9%
茨城,168,4601,3.7%
栃木,65,3674,1.8%
群馬,149,3575,4.2%
埼玉,1002,20156,5.0%
千葉,906,14284,6.3%
東京,5195,14936,34.8%
神奈川,1341,9225,14.5%
新潟,83,4121,2.0%
富山,227,3133,7.2%
石川,297,2667,11.1%
福井,122,2565,4.8%
山梨,60,3842,1.6%
長野,76,2662,2.9%
岐阜,150,3496,4.3%
静岡,76,3491,2.2%
愛知,507,9920,5.1%
三重,45,2480,1.8%
滋賀,100,1804,5.5%
京都,358,7846,4.6%
大阪,1782,30162,5.9%
兵庫,699,10942,6.4%
奈良,92,2545,3.6%
和歌山,63,3657,1.7%
鳥取,3,1321,0.2%
島根,24,1099,2.2%
岡山,25,1677,1.5%
広島,167,6885,2.4%
山口,37,1674,2.2%
徳島,5,726,0.7%
香川,28,2155,1.3%
愛媛,82,2046,4.0%
高知,74,1770,4.2%
福岡,682,12107,5.6%
佐賀,47,1398,3.4%
長崎,17,2715,0.6%
熊本,48,3885,1.2%
大分,60,3927,1.5%
宮崎,17,1363,1.2%
鹿児島,10,1852,0.5%
沖縄,142,2843,5.0%
長崎船,149,-,-
合計,16532,240334,6.9%
