都道府県名,陽性者数,検査人数,備考
北海道,177,2076,
青森県,7,132,
岩手県,0,54,
宮城県,6,208,
秋田県,4,240,
山形県,0,198,
福島県,2,203,
茨城県,20,921,
栃木県,12,439,
群馬県,18,253,
埼玉県,84,1249,
千葉県,160,362,
東京都,449,2986,
神奈川県,115,476,
新潟県,31,1024,
富山県,1,79,
石川県,11,211,
福井県,15,160,
山梨県,5,454,
長野県,8,475,
岐阜県,21,629,
静岡県,4,701,
愛知県,170,2460,
三重県,11,437,
滋賀県,6,217,
京都府,54,1080,
大阪府,217,630,
兵庫県,136,2399,
奈良県,11,292,
和歌山県,17,1452,
鳥取県,0,169,
島根県,0,130,
岡山県,4,309,
広島県,6,901,
山口県,6,257,
徳島県,1,123,
香川県,1,243,
愛媛県,4,250,
高知県,15,359,
福岡県,23,1033,
佐賀県,1,137,
長崎県,2,331,
熊本県,11,856,
大分県,28,1626,
宮崎県,3,272,
鹿児島県,1,263,
沖縄県,9,332,
合計,1887,30088,
