都道府県名,陽性者数,検査人数,備考
北海道,163,1794,
青森県,2,85,
岩手県,0,36,
宮城県,1,162,
秋田県,2,200,
山形県,0,147,
福島県,2,164,
茨城県,5,576,
栃木県,6,299,
群馬県,13,209,
埼玉県,58,898,
千葉県,48,39,
東京都,172,2013,
神奈川県,80,69,
新潟県,28,812,
富山県,0,67,
石川県,8,192,
福井県,1,114,
山梨県,4,370,
長野県,5,339,
岐阜県,12,317,
静岡県,3,584,
愛知県,148,1895,
三重県,9,368,
滋賀県,5,173,
京都府,26,930,
大阪府,142,169,
兵庫県,115,1607,
奈良県,9,214,
和歌山県,17,1316,
鳥取県,0,129,
島根県,0,105,
岡山県,1,219,
広島県,3,656,
山口県,4,192,
徳島県,1,96,
香川県,1,160,
愛媛県,3,215,
高知県,12,307,
福岡県,9,703,
佐賀県,1,115,
長崎県,1,253,
熊本県,7,543,
大分県,18,743,
宮崎県,3,205,
鹿児島県,0,196,
沖縄県,4,271,
合計,1152,21266,
