都道府県名,陽性者数 検査人数,,%
北海道,1085,14000,7.8%
青森,27,850,3.2%
岩手,0,662,0.0%
宮城,88,2944,3.0%
秋田,16,933,1.7%
山形,69,2659,2.6%
福島,81,4452,1.8%
茨城,168,4628,3.6%
栃木,65,3871,1.7%
群馬,149,3655,4.1%
埼玉,1003,20735,4.8%
千葉,909,14688,6.2%
東京,5236,15005,34.9%
神奈川,1359,9446,14.4%
新潟,83,4180,2.0%
富山,227,3144,7.2%
石川,298,2723,10.9%
福井,122,2631,4.6%
山梨,64,3877,1.7%
⾧野,76,2714,2.8%
岐阜,150,3610,4.2%
静岡,76,3521,2.2%
愛知,507,9970,5.1%
三重,45,2505,1.8%
滋賀,100,1856,5.4%
京都,358,7933,4.5%
大阪,1783,31156,5.7%
兵庫,699,11128,6.3%
奈良,92,2545,3.6%
和歌山,63,3701,1.7%
鳥取,3,1338,0.2%
島根,24,1125,2.1%
岡山,25,1705,1.5%
広島,167,6907,2.4%
山口,37,1701,2.2%
徳島,5,741,0.7%
香川,28,2187,1.3%
愛媛,82,2074,4.0%
高知,74,1793,4.1%
福岡,746,12634,5.9%
佐賀,47,1417,3.3%
⾧崎,17,2754,0.6%
熊本,48,3924,1.2%
大分,60,3988,1.5%
宮崎,17,1368,1.2%
鹿児島,10,1859,0.5%
沖縄,142,2863,5.0%
⾧崎船,149,-,-
合計,16679,246100,6.8%
