全国,542 名
北海道,117 名
宮城県,1 名
秋田県,1 名
福島県,1 名
栃木県,2 名
埼玉県,12 名
群馬県,1 名
千葉県,23 名
東京都,68 名
神奈川県,37 名
新潟県,11 名
石川県,5 名
山梨県,2 名
長野県,2 名
岐阜県,2 名
静岡県,2 名
愛知県,101 名
三重県,2 名
滋賀県,1 名
京都府,12 名
大阪府,64 名
兵庫県,32 名
奈良県,4 名
和歌山県,12 名
広島県,1 名
山口県,1 名
愛媛県,1 名
高知県,11 名
福岡県,3 名
熊本県,5 名
大分県,1 名
宮崎県,1 名
沖縄県,3 名
