都道府県名,陽性者数 検査人数,,%
北海道,1619,36031,4.5%
青森,33,1689,2.0%
岩手,8,2176,0.4%
宮城,184,7109,2.6%
秋田,42,1450,2.9%
山形,76,3002,2.5%
福島,105,11895,0.9%
茨城,452,9203,4.9%
栃木,276,18305,1.5%
群馬,298,10321,2.9%
埼玉,3221,87801,3.7%
千葉,2463,44503,5.5%
東京,17714,253605,7.0%
神奈川,3854,87845,4.4%
新潟,129,7890,1.6%
富山,307,6591,4.7%
石川,456,4059,11.2%
福井,155,5886,2.6%
山梨,136,8444,1.6%
長野,148,10650,1.4%
岐阜,512,15272,3.4%
静岡,398,18540,2.1%
愛知,3454,37041,9.3%
三重,281,7333,3.8%
滋賀,337,6953,4.8%
京都,1061,23577,4.5%
大阪,6845,105103,6.5%
兵庫,1863,35836,5.2%
奈良,394,11572,3.4%
和歌山,196,7369,2.7%
鳥取,21,4292,0.5%
島根,132,4191,3.1%
岡山,126,3821,3.3%
広島,435,15725,2.8%
山口,83,4998,1.7%
徳島,90,3755,2.4%
香川,63,6293,1.0%
愛媛,110,3428,3.2%
高知,102,2590,3.9%
福岡,3559,34477,10.3%
佐賀,195,3933,5.0%
長崎,185,10708,1.7%
熊本,407,9139,4.5%
大分,103,8982,1.1%
宮崎,261,6761,3.9%
鹿児島,296,13001,2.3%
沖縄,1618,18176,8.9%
長崎船,149,0,-
合計,54952,1041321,5.3%
