都道府県名,陽性者数,検査人数,備考
北海道,194,2445,
青森県,11,233,
岩手県,0,86,
宮城県,26,514,
秋田県,11,419,
山形県,13,434,
福島県,16,328,
茨城県,71,1806,
栃木県,14,759,
群馬県,26,1361,
埼玉県,195,1647,
千葉県,253,1297,
東京都,1123,4422,
神奈川県,261,1799,
新潟県,32,1345,
富山県,11,381,
石川県,45,384,
福井県,57,335,
山梨県,14,749,
長野県,14,736,
岐阜県,51,966,
静岡県,10,1203,
愛知県,237,3236,
三重県,13,759,
滋賀県,18,334,
京都府,119,1472,
大阪府,429,1751,
兵庫県,201,3054,
奈良県,26,374,
和歌山県,27,1642,
鳥取県,0,242,
島根県,0,166,
岡山県,11,479,
広島県,16,1348,
山口県,12,449,
徳島県,3,174,
香川県,2,371,
愛媛県,14,407,
高知県,34,565,
福岡県,113,2415,
佐賀県,8,223,
長崎県,9,665,
熊本県,20,1420,
大分県,32,1843,
宮崎県,7,425,
鹿児島県,3,414,
沖縄県,15,480,
合計,3817,48357,
