都道府県名,陽性者数 検査人数,,%
北海道,1200,19481,6.2%
青森,27,950,2.8%
岩手,0,888,0.0%
宮城,90,3534,2.5%
秋田,16,985,1.6%
山形,69,2509,2.8%
福島,82,6328,1.3%
茨城,170,5192,3.3%
栃木,66,6407,1.0%
群馬,152,4718,3.2%
埼玉,1063,32115,3.3%
千葉,933,17416,5.4%
東京,5895,71904,8.2%
神奈川,1438,12202,11.8%
新潟,84,4815,1.7%
富山,227,3859,5.9%
石川,300,2879,10.4%
福井,122,3280,3.7%
山梨,72,5401,1.3%
長野,77,3166,2.4%
岐阜,156,4926,3.2%
静岡,80,7108,1.1%
愛知,523,12180,4.3%
三重,46,2798,1.6%
滋賀,101,2270,4.4%
京都,365,9722,3.8%
大阪,1809,38259,4.7%
兵庫,703,14176,5.0%
奈良,92,3760,2.4%
和歌山,64,3918,1.6%
鳥取,3,1461,0.2%
島根,24,1225,2.0%
岡山,26,1882,1.4%
広島,168,7683,2.2%
山口,37,2160,1.7%
徳島,5,851,0.6%
香川,28,2570,1.1%
愛媛,82,2578,3.2%
高知,74,1943,3.8%
福岡,841,15746,5.3%
佐賀,47,1603,2.9%
長崎,17,3152,0.5%
熊本,49,4203,1.2%
大分,60,4691,1.3%
宮崎,17,1536,1.1%
鹿児島,11,2494,0.4%
沖縄,142,3003,4.7%
長崎船,149,-,-
合計,17802,365927,4.9%
