都道府県名,陽性者数,検査人数,備考
北海道,168,1929,
青森県,6,116,
岩手県,0,44,
宮城県,2,180,
秋田県,2,207,
山形県,0,165,
福島県,2,177,
茨城県,10,716,
栃木県,10,343,
群馬県,14,241,
埼玉県,66,1033,
千葉県,56,108,
東京都,265,2182,
神奈川県,89,218,
新潟県,29,920,
富山県,0,69,
石川県,8,195,
福井県,6,119,
山梨県,4,401,
長野県,5,371,
岐阜県,16,374,
静岡県,3,645,
愛知県,157,2204,
三重県,9,387,
滋賀県,6,138,
京都府,32,996,
大阪府,157,362,
兵庫県,118,2031,
奈良県,9,231,
和歌山県,17,1405,
鳥取県,0,141,
島根県,0,109,
岡山県,1,243,
広島県,4,722,
山口県,6,210,
徳島県,1,104,
香川県,1,191,
愛媛県,3,223,
高知県,12,314,
福岡県,11,777,
佐賀県,1,124,
長崎県,2,279,
熊本県,8,595,
大分県,25,1389,
宮崎県,3,235,
鹿児島県,1,215,
沖縄県,4,285,
合計,1349,24663,
