都道府県名,陽性者数 検査人数,,%
北海道,1132,16456,6.9%
青森,27,892,3.0%
岩手,0,767,0.0%
宮城,88,3136,2.8%
秋田,16,957,1.7%
山形,69,2463,2.8%
福島,81,5232,1.5%
茨城,168,4934,3.4%
栃木,66,5141,1.3%
群馬,151,4158,3.6%
埼玉,1014,25132,4.0%
千葉,912,15813,5.8%
東京,5426,16177,33.5%
神奈川,1398,10918,12.8%
新潟,83,4465,1.9%
富山,227,3542,6.4%
石川,299,2806,10.7%
福井,122,2919,4.2%
山梨,68,4577,1.5%
長野,76,2930,2.6%
岐阜,153,4065,3.8%
静岡,76,3644,2.1%
愛知,511,10961,4.7%
三重,45,2599,1.7%
滋賀,100,2003,5.0%
京都,360,8793,4.1%
大阪,1785,34037,5.2%
兵庫,699,11716,6.0%
奈良,92,3240,2.8%
和歌山,63,3815,1.7%
鳥取,3,1405,0.2%
島根,24,1176,2.0%
岡山,25,1790,1.4%
広島,168,7328,2.3%
山口,37,1886,2.0%
徳島,5,789,0.6%
香川,28,2344,1.2%
愛媛,82,2487,3.3%
高知,74,1863,4.0%
福岡,808,14552,5.6%
佐賀,47,1513,3.1%
長崎,17,2972,0.6%
熊本,48,4070,1.2%
大分,60,4309,1.4%
宮崎,17,1453,1.2%
鹿児島,10,2049,0.5%
沖縄,142,2930,4.8%
長崎船,149,-,-
合計,17051,273204,6.2%
