都道府県名,陽性者数,検査人数,備考
北海道,159,1652,
青森県,0,88,
岩手県,0,29,
宮城県,1,150,
秋田県,2,114,
山形県,0,133,
福島県,2,132,
茨城県,3,464,
栃木県,4,263,
群馬県,11,174,
埼玉県,44,684,
千葉県,42,,
東京都,142,1848,
神奈川県,68,,
新潟県,26,647,
富山県,0,54,
石川県,8,176,
福井県,1,97,
山梨県,2,338,
長野県,4,306,
岐阜県,3,279,
静岡県,3,,
愛知県,141,847,
三重県,9,318,
滋賀県,4,144,
京都府,22,813,
大阪府,125,2034,
兵庫県,106,1126,
奈良県,8,184,
和歌山県,17,1112,
鳥取県,0,115,
島根県,0,92,
岡山県,0,181,
広島県,2,579,
山口県,3,166,
徳島県,1,83,
香川県,1,142,
愛媛県,3,181,
高知県,12,272,
福岡県,5,637,
佐賀県,1,102,
長崎県,1,213,
熊本県,7,487,
大分県,13,175,
宮崎県,3,186,
鹿児島県,0,171,
沖縄県,3,238,
合計,1012,18226,
