iso,fullken,total,first,second,date,tier,date.scrape
JP-47,沖縄県,123731,67817,55914,2021-07-12,IRYO,2021-07-16
JP-01,北海道,1938252,1287985,650267,2021-07-12,IPPAN,2021-07-16
JP-02,青森県,516586,331928,184658,2021-07-12,IPPAN,2021-07-16
JP-03,岩手県,481933,314825,167108,2021-07-12,IPPAN,2021-07-16
JP-04,宮城県,868285,546378,321907,2021-07-12,IPPAN,2021-07-16
JP-05,秋田県,451044,322854,128190,2021-07-12,IPPAN,2021-07-16
JP-06,山形県,581923,358299,223624,2021-07-12,IPPAN,2021-07-16
JP-07,福島県,829505,521174,308331,2021-07-12,IPPAN,2021-07-16
JP-08,茨城県,1046959,681186,365773,2021-07-12,IPPAN,2021-07-16
JP-09,栃木県,656082,436310,219772,2021-07-12,IPPAN,2021-07-16
JP-10,群馬県,830202,552719,277483,2021-07-12,IPPAN,2021-07-16
JP-11,埼玉県,2483544,1617044,866500,2021-07-12,IPPAN,2021-07-16
JP-12,千葉県,2177782,1414208,763574,2021-07-12,IPPAN,2021-07-16
JP-13,東京都,4589278,2996415,1592863,2021-07-12,IPPAN,2021-07-16
JP-14,神奈川県,3149669,2104615,1045054,2021-07-12,IPPAN,2021-07-16
JP-15,新潟県,1035271,649424,385847,2021-07-12,IPPAN,2021-07-16
JP-16,富山県,467905,293441,174464,2021-07-12,IPPAN,2021-07-16
JP-17,石川県,523969,324358,199611,2021-07-12,IPPAN,2021-07-16
JP-18,福井県,356790,225827,130963,2021-07-12,IPPAN,2021-07-16
JP-19,山梨県,346533,222573,123960,2021-07-12,IPPAN,2021-07-16
JP-20,長野県,893225,569539,323686,2021-07-12,IPPAN,2021-07-16
JP-21,岐阜県,966135,595543,370592,2021-07-12,IPPAN,2021-07-16
JP-22,静岡県,1313895,874975,438920,2021-07-12,IPPAN,2021-07-16
JP-23,愛知県,2765538,1700545,1064993,2021-07-12,IPPAN,2021-07-16
JP-24,三重県,761713,473006,288707,2021-07-12,IPPAN,2021-07-16
