都道府県名,陽性者数,検査人数,備考
北海道,148,1322,
青森県,0,70,
岩手県,0,22,
宮城県,1,109,
秋田県,2,94,
山形県,0,110,
福島県,2,107,
茨城県,0,389,
栃木県,2,201,
群馬県,5,115,
埼玉県,28,440,3/13未確定
千葉県,31,817,
東京都,96,922,3/13未確定
神奈川県,54,,
新潟県,14,,
富山県,0,49,
石川県,7,146,
福井県,0,74,
山梨県,2,267,
長野県,4,255,
岐阜県,2,227,
静岡県,3,,
愛知県,121,1103,
三重県,8,198,
滋賀県,2,99,
京都府,17,628,
大阪府,107,,
兵庫県,62,581,
奈良県,8,131,
和歌山県,15,1008,
鳥取県,0,93,
島根県,0,80,
岡山県,0,141,3/13未確定
広島県,1,423,
山口県,3,128,
徳島県,1,70,
香川県,0,98,
愛媛県,2,161,
高知県,12,229,
福岡県,3,522,
佐賀県,1,52,
長崎県,1,150,
熊本県,6,,
大分県,1,148,
宮崎県,1,113,
鹿児島県,0,,
沖縄県,3,198,
合計,776,12090,
