都道府県名,陽性者数 検査人数,,%
北海道,1304,23694,5.5%
青森,29,1140,2.5%
岩手,0,1189,0.0%
宮城,110,4748,2.3%
秋田,16,1023,1.6%
山形,74,2674,2.8%
福島,84,8119,1.0%
茨城,209,5930,3.5%
栃木,103,9645,1.1%
群馬,161,6320,2.5%
埼玉,1568,47612,3.3%
千葉,1191,21490,5.5%
東京,8354,125898,6.6%
神奈川,1826,14758,12.4%
新潟,89,5419,1.6%
富山,230,4493,5.1%
石川,300,2968,10.1%
福井,125,3779,3.3%
山梨,76,6341,1.2%
長野,80,4878,1.6%
岐阜,166,6009,2.8%
静岡,97,9243,1.0%
愛知,536,14633,3.7%
三重,50,3123,1.6%
滋賀,107,3026,3.5%
京都,468,12781,3.7%
大阪,2065,48476,4.3%
兵庫,748,17478,4.3%
奈良,131,5045,2.6%
和歌山,84,4703,1.8%
鳥取,5,2145,0.2%
島根,25,1299,1.9%
岡山,30,2066,1.5%
広島,184,8525,2.2%
山口,37,2788,1.3%
徳島,10,1268,0.8%
香川,31,3229,1.0%
愛媛,82,2693,3.0%
高知,75,2051,3.7%
福岡,928,18352,5.1%
佐賀,47,1738,2.7%
長崎,31,4277,0.7%
熊本,49,4465,1.1%
大分,60,5522,1.1%
宮崎,20,1748,1.1%
鹿児島,158,7605,2.1%
沖縄,148,3381,4.4%
長崎船,149,-,-
合計,22450,499787,4.5%
