都道府県名,陽性者数 検査人数,,%
北海道,1137,16633,6.8%
青森,27,899,3.0%
岩手,0,769,0.0%
宮城,88,3168,2.8%
秋田,16,961,1.7%
山形,69,2470,2.8%
福島,81,5353,1.5%
茨城,168,4962,3.4%
栃木,66,5264,1.3%
群馬,151,4232,3.6%
埼玉,1017,25662,4.0%
千葉,915,15991,5.7%
東京,5448,16267,33.5%
神奈川,1399,11046,12.7%
新潟,83,4507,1.8%
富山,227,3587,6.3%
石川,299,2815,10.6%
福井,122,2953,4.1%
山梨,68,4648,1.5%
長野,76,2957,2.6%
岐阜,153,4095,3.7%
静岡,77,3653,2.1%
愛知,513,11072,4.6%
三重,45,2609,1.7%
滋賀,100,2024,4.9%
京都,360,8864,4.1%
大阪,1785,34423,5.2%
兵庫,699,11771,5.9%
奈良,92,3240,2.8%
和歌山,63,3824,1.6%
鳥取,3,1411,0.2%
島根,24,1182,2.0%
岡山,25,1800,1.4%
広島,168,7360,2.3%
山口,37,1898,1.9%
徳島,5,798,0.6%
香川,28,2362,1.2%
愛媛,82,2497,3.3%
高知,74,1873,4.0%
福岡,810,14641,5.5%
佐賀,47,1523,3.1%
長崎,17,2993,0.6%
熊本,48,4080,1.2%
大分,60,4342,1.4%
宮崎,17,1461,1.2%
鹿児島,10,2157,0.5%
沖縄,142,2935,4.8%
長崎船,149,-,-
合計,17090,276032,6.2%
