都道府県名,陽性者数,検査人数,備考
北海道,169,1976,
青森県,6,123,
岩手県,0,50,
宮城県,2,187,
秋田県,4,211,
山形県,0,170,
福島県,2,182,
茨城県,11,770,
栃木県,11,377,
群馬県,14,240,
埼玉県,72,1104,
千葉県,62,169,
東京都,305,2269,
神奈川県,95,276,
新潟県,29,977,
富山県,0,70,
石川県,8,199,
福井県,9,136,
山梨県,4,422,
長野県,6,396,
岐阜県,16,412,
静岡県,3,648,
愛知県,160,2276,
三重県,9,408,
滋賀県,6,196,
京都府,34,1035,
大阪府,177,501,
兵庫県,122,2121,
奈良県,9,253,
和歌山県,17,1419,
鳥取県,0,146,
島根県,0,117,
岡山県,2,251,
広島県,4,748,
山口県,6,228,
徳島県,1,110,
香川県,1,197,
愛媛県,4,234,
高知県,13,332,
福岡県,12,843,
佐賀県,1,129,
長崎県,2,292,
熊本県,10,658,
大分県,25,1489,
宮崎県,3,236,
鹿児島県,1,219,
沖縄県,6,303,
合計,1453,26105,
