都道府県名,陽性者数 検査人数,,%
北海道,1024,11648,8.8%
青森,27,810,3.3%
岩手,0,598,0.0%
宮城,88,2684,3.3%
秋田,16,920,1.7%
山形,69,2606,2.6%
福島,81,3682,2.2%
茨城,168,4469,3.8%
栃木,64,3336,1.9%
群馬,149,3396,4.4%
埼玉,998,18101,5.5%
千葉,904,13586,6.7%
東京,5136,14653,35.1%
神奈川,1322,8780,15.1%
新潟,83,3994,2.1%
富山,227,3067,7.4%
石川,294,2579,11.4%
福井,122,2430,5.0%
山梨,60,3602,1.7%
⾧野,76,2552,3.0%
岐阜,150,3173,4.7%
静岡,74,3369,2.2%
愛知,506,9525,5.3%
三重,45,2422,1.9%
滋賀,99,1686,5.9%
京都,358,7493,4.8%
大阪,1780,27552,6.5%
兵庫,699,10537,6.6%
奈良,91,2754,3.3%
和歌山,63,3602,1.7%
鳥取,3,1288,0.2%
島根,24,1078,2.2%
岡山,25,1621,1.5%
広島,167,6696,2.5%
山口,37,1653,2.2%
徳島,5,699,0.7%
香川,28,2065,1.4%
愛媛,78,1824,4.3%
高知,74,1732,4.3%
福岡,658,11715,5.6%
佐賀,47,1372,3.4%
⾧崎,17,2645,0.6%
熊本,48,3820,1.3%
大分,60,3801,1.6%
宮崎,17,1339,1.3%
鹿児島,10,1685,0.6%
沖縄,142,2806,5.1%
⾧崎船,149  -,,-
合計,16362,227445,7.2%
