都道府県名,陽性者数,検査人数,%
北海道,540,5112,10.6%
青森,22,506,4.3%
岩手,0,271,0.0%
宮城,84,1491,5.6%
秋田,16,776,2.1%
山形,65,1851,3.5%
福島,65,1316,4.9%
茨城,153,3887,3.9%
栃木,53,1617,3.3%
群馬,138,2380,5.8%
埼玉,753,5630,13.4%
千葉,749,4646,15.2%
東京,3586,9361,38.3%
神奈川,880,4828,16.8%
新潟,62,2354,2.6%
富山,150,1781,8.4%
石川,216,1338,16.1%
福井,119,1278,9.3%
山梨,51,1862,2.7%
長野,59,1514,3.9%
岐阜,146,2234,6.5%
静岡,58,2306,2.5%
愛知,453,6033,7.5%
三重,43,1578,2.7%
滋賀,92,1067,8.6%
京都,282,3397,8.3%
大阪,1417,6346,20.4%
兵庫,581,6213,9.4%
奈良,76,1140,6.7%
和歌山,50,2454,2.0%
鳥取,3,880,0.3%
島根,16,733,2.2%
岡山,19,1015,1.9%
広島,142,3900,3.6%
山口,31,1156,2.7%
徳島,5,368,1.4%
香川,28,1393,2.0%
愛媛,47,961,4.9%
高知,71,1260,5.6%
福岡,572,7690,7.4%
佐賀,21,682,3.1%
長崎,16,1676,1.0%
熊本,43,2577,1.7%
大分,60,2910,2.1%
宮崎,17,993,1.7%
鹿児島,10,1017,1.0%
沖縄,132,1589,8.3%
長崎船,48,,
合計,12240,117367,10.2%
