都道府県名,陽性者数,検査人数,備考
北海道,167,1821,
青森県,8,102,
岩手県,0,41,
宮城県,1,175,
秋田県,2,204,
山形県,0,156,
福島県,2,167,
茨城県,9,656,
栃木県,7,320,
群馬県,13,231,
埼玉県,59,901,
千葉県,53,100,
東京都,218,2087,
神奈川県,84,74,
新潟県,29,845,
富山県,0,69,
石川県,8,193,
福井県,2,116,
山梨県,4,383,
長野県,5,339,
岐阜県,13,325,
静岡県,3,611,
愛知県,154,1987,
三重県,9,380,
滋賀県,5,176,
京都府,30,967,
大阪府,150,250,
兵庫県,116,1855,
奈良県,9,225,
和歌山県,17,1374,
鳥取県,0,134,
島根県,0,106,
岡山県,1,233,
広島県,3,687,
山口県,5,196,
徳島県,1,99,
香川県,1,168,
愛媛県,3,219,
高知県,12,313,
福岡県,9,747,
佐賀県,1,121,
長崎県,2,266,
熊本県,7,567,
大分県,25,1171,
宮崎県,3,222,
鹿児島県,0,208,
沖縄県,4,271,
合計,1254,22858,
